year,price
2018-04-01,104.69
2018-05-01,94.81
2018-06-01,92.14
2018-07-01,93.66
2018-08-01,96.34
2018-09-01,106.51
2018-10-01,106.57
2018-11-01,109.33
2018-12-01,108.12
2019-01-01,110.99
2019-02-01,110.6
2019-03-01,112.27
2019-04-01,111.18
2019-05-01,107.36
2019-06-01,103.17
2019-07-01,91.26
2019-08-01,90
2019-09-01,93.37
2019-10-01,95.38
2019-11-01,92.35
2019-12-01,94.79
2020-01-01,95.84
2020-02-01,93.35
2020-03-01,92.74
2020-04-01,111.64
2020-05-01,100.77
2020-06-01,108.04
2020-07-01,131.78
2020-08-01,165.18
2020-09-01,185.87
2020-10-01,153.89
2020-11-01,166.31
2020-12-01,131.27
2021-01-01,148.4
2021-02-01,146.2
2021-03-01,141.2
